Aizen |  |  |  |  | Ankit's Team |  |  |  |  | Deepanshuu's Team |  |  |  |  | GURI XI |  |  |  |  | Jenna Morrh Warriors |  |  |  |  | Maat maro shota bacha hu |  |  |  |  | Piyush dhiman's Team |  |  |  |  | shabad's Team |  |  |  |  | Sumit's Team |  |  | 
Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team | Price (Cr) | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points |  | Player Name | IPL Team |  | Points
Ishan Kishan | Sunrisers Hyderabad |  | 166 |  | Trent Boult | Mumbai Indians |  | 0 |  | Sanju Samson | Chennai Super Kings | 0 | 0 |  | Jasprit Bumrah | Mumbai Indians |  | 0 |  | Hardik Pandya | Mumbai Indians |  | 0 |  | Arshdeep Singh | Punjab Kings |  | 0 |  | Rohit Sharma | Mumbai Indians |  | 0 |  | Shubman Gill | Gujarat Titans |  | 0 |  | KL Rahul | Delhi Capitals |  | 0
Pat Cummins | Sunrisers Hyderabad |  | 0 |  | Sai Sudharsan | Gujarat Titans |  | 0 |  | Jos Buttler | Gujarat Titans | 0 | 0 |  | Finn Allen | Kolkata Knight Riders |  | 0 |  | Ruturaj Gaikwad | Chennai Super Kings |  | 0 |  | Shreyas Iyer | Punjab Kings |  | 0 |  | Suryakumar Yadav | Mumbai Indians |  | 0 |  | Yashasvi Jaiswal | Rajasthan Royals |  | 0 |  | Prabhsimran Singh | Punjab Kings |  | 0
Will Jacks | Mumbai Indians |  | 0 |  | Yuzvendra Chahal | Punjab Kings |  | 0 |  | Ravindra Jadeja | Rajasthan Royals | 0 | 0 |  | Josh Hazlewood | Royal Challengers Bengaluru |  | 0 |  | Sunil Narine | Kolkata Knight Riders |  | 0 |  | Tristan Stubbs | Delhi Capitals |  | 0 |  | Tilak Varma | Mumbai Indians |  | 0 |  | Axar Patel | Delhi Capitals |  | 0 |  | Shivam Dube | Chennai Super Kings |  | 0
Vaibhav Sooryavanshi | Rajasthan Royals |  | 0 |  | Shimron Hetmyer | Rajasthan Royals |  | 0 |  | Noor Ahmad | Chennai Super Kings | 0 | 0 |  | Dewald Brevis | Chennai Super Kings |  | 0 |  | Priyansh Arya | Punjab Kings |  | 0 |  | Auqib Nabi | Delhi Capitals |  | 0 |  | Jacob Bethell | Royal Challengers Bengaluru |  | 0 |  | Nicholas Pooran | Lucknow Super Giants |  | 0 |  | Rishabh Pant | Lucknow Super Giants |  | 0
Varun Chakravarthy | Kolkata Knight Riders |  | 0 |  | Ajinkya Rahane | Kolkata Knight Riders |  | 0 |  | Aiden Markram | Lucknow Super Giants | 0 | 0 |  | Dhruv Jurel | Rajasthan Royals |  | 0 |  | Liam Livingstone | Sunrisers Hyderabad |  | 0 |  | Riyan Parag | Rajasthan Royals |  | 0 |  | Glenn Phillips | Gujarat Titans |  | 0 |  | Kuldeep Yadav | Delhi Capitals |  | 0 |  | Avesh Khan | Lucknow Super Giants |  | 0
Cameron Green | Kolkata Knight Riders |  | 0 |  | Venkatesh Iyer | Royal Challengers Bengaluru |  | 0 |  | Shashank Singh | Punjab Kings | 0 | 0 |  | Tim Seifert | Kolkata Knight Riders |  | 0 |  | Mohammed Shami | Lucknow Super Giants |  | 0 |  | Rahul Tewatia | Gujarat Titans |  | 0 |  | Marcus Stoinis | Punjab Kings |  | 0 |  | Angkrish Raghuvanshi | Kolkata Knight Riders |  | 0 |  | Mohammed Siraj | Gujarat Titans |  | 0
Rahul Chahar | Chennai Super Kings |  | 0 |  | Mitchell Starc | Delhi Capitals |  | 0 |  | Azmatullah Omarzai | Punjab Kings | 0 | 0 |  | Sherfane Rutherford | Mumbai Indians |  | 0 |  | T Natarajan | Delhi Capitals |  | 0 |  | Khaleel Ahmed | Chennai Super Kings |  | 0 |  | Jofra Archer | Rajasthan Royals |  | 0 |  | Digvesh Rathi | Lucknow Super Giants |  | 0 |  | Prasidh Krishna | Gujarat Titans |  | 0
Prithvi Shaw | Delhi Capitals |  | 0 |  | Virat Kohli | Royal Challengers Bengaluru |  | 145 |  | Matheesha Pathirana | Kolkata Knight Riders | 0 | 0 |  | Rashid Khan | Gujarat Titans |  | 0 |  | Rinku Singh | Kolkata Knight Riders |  | 0 |  | Marco Jansen | Punjab Kings |  | 0 |  | Quinton de Kock | Mumbai Indians |  | 0 |  | MS Dhoni | Chennai Super Kings |  | 0 |  | Harshit Rana | Kolkata Knight Riders |  | 0
Ishant Sharma | Gujarat Titans |  | 0 |  | Phil Salt | Royal Challengers Bengaluru |  | 48 |  | Mitchell Marsh | Lucknow Super Giants | 0 | 0 |  | Nehal Wadhera | Punjab Kings |  | 0 |  | Ryan Rickelton | Mumbai Indians |  | 0 |  | Ayush Mhatre | Chennai Super Kings |  | 0 |  | Kagiso Rabada | Gujarat Titans |  | 0 |  | Prashant Veer | Chennai Super Kings |  | 0 |  | Washington Sundar | Gujarat Titans |  | 0
David Miller | Delhi Capitals |  | 0 |  | Harshal Patel | Sunrisers Hyderabad |  | 2 |  | Ayush Badoni | Lucknow Super Giants | 0 | 0 |  | Tim David | Royal Challengers Bengaluru |  | 34 |  | Rachin Ravindra | Kolkata Knight Riders |  | 0 |  | Abishek Porel | Delhi Capitals |  | 0 |  | Ravi Bishnoi | Rajasthan Royals |  | 0 |  | Rajat Patidar | Royal Challengers Bengaluru |  | 73 |  | Abhishek Sharma | Sunrisers Hyderabad |  | 17
Ashutosh Sharma | Delhi Capitals |  | 0 |  | Bhuvneshwar Kumar | Royal Challengers Bengaluru |  | 54 |  | Heinrich Klaasen | Sunrisers Hyderabad | 0 | 71 |  | Jitesh Sharma | Royal Challengers Bengaluru |  | 10 |  | Abdul Samad | Lucknow Super Giants |  | 0 |  | Travis Head | Sunrisers Hyderabad |  | 23 |  | Lungi Ngidi | Delhi Capitals |  | 0 |  | Nitish Kumar Reddy | Sunrisers Hyderabad |  | 15 |  | Krunal Pandya | Royal Challengers Bengaluru |  | 0
TOTAL |  |  | 166 |  | TOTAL |  |  | 249 |  | TOTAL |  | 0 | 71 |  | TOTAL |  |  | 44 |  | TOTAL |  |  | 0 |  | TOTAL |  |  | 23 |  | TOTAL |  |  | 0 |  | TOTAL |  |  | 88 |  | TOTAL |  |  | 17
